PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	ZT1_1_BAT	ZT1_2_BAT	ZT1_3_BAT	ZT5_1_BAT	ZT5_2_BAT	ZT5_3_BAT	ZT9_1_BAT	ZT9_2_BAT	ZT9_3_BAT	ZT13_1_BAT	ZT13_2_BAT	ZT13_3_BAT	ZT17_1_BAT	ZT17_2_BAT	ZT17_3_BAT	ZT21_1_BAT	ZT21_2_BAT	ZT21_3_BAT	LAG	BH.Q	ZT_bin
chr11-1660	chr11	108797477	108797627	+	34.7	0	intron (NM_029606, intron 24 of 27)	intron (NM_029606, intron 24 of 27)	114934	NM_029586	76380	Mm.344071	NM_029586	ENSMUSG00000020728	Cep112	1700001M19Rik|1700029K01Rik|8430407H02Rik|AV043680|AV207351|Ccdc46|Macoco	centrosomal protein 112	protein-coding	72	88	143	76	79	132	137	128	77	124	113	89	106	167	233	143	146	166	18	0.0071053784429439	ZT17
chr16-738	chr16	91394879	91395029	+	34.7	0	TTS (NM_001110498)	TTS (NM_001110498)	-11281	NM_008349	16155	Mm.4154	NM_008349	ENSMUSG00000022969	Il10rb	6620401D04Rik|AI528744|CRF2-4|Crfb4|D16H21S58|D21S58h|IL-10R2|Il10r2	interleukin 10 receptor, beta	protein-coding	53	65	105	105	91	134	119	157	85	117	111	95	102	189	292	152	113	130	16	0.091432700055119	ZT17
chr2-1537	chr2	60910868	60911018	+	34.7	0	intron (NM_020296, intron 1 of 13)	intron (NM_020296, intron 1 of 13)	-29505	NM_001141931	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding	75	107	177	58	89	117	168	157	63	67	91	75	87	158	268	131	163	163	21	0.0546578553591281	ZT21
chr2-1595	chr2	18781443	18781593	+	34.7	0	Intergenic	Intergenic	20300	NR_131254	66774	Mm.87075	NR_131254	ENSMUSG00000097638	Carlr	4933439G12Rik|Carl	cardiac and apoptosis-related long non-coding RNA	ncRNA	75	84	137	73	100	162	167	125	82	93	107	106	104	162	266	116	122	134	18	0.0377238244831057	ZT17
chr17-959	chr17	26621241	26621391	+	34.7	0	intron (NM_026170, intron 3 of 9)	intron (NM_026170, intron 3 of 9)	-55080	NM_025272	11974	Mm.22602	NM_025272	ENSMUSG00000015575	Atp6v0e	Atp6k|Atp6v0e1|M9.2	ATPase, H+ transporting, lysosomal V0 subunit E	protein-coding	47	77	85	69	78	165	130	153	87	99	135	133	90	212	275	102	113	164	14	0.0132923364728598	ZT13
chr6-1148	chr6	51213258	51213408	+	34.7	0	Intergenic	Intergenic	56577	NR_029719	387166	NA	NR_029719	ENSMUSG00000065505	Mir148a	Mirn148|Mirn148a|mir-148a	microRNA 148a	ncRNA	70	118	149	130	122	160	159	132	66	91	95	77	79	152	213	132	117	156	0	0.0649073511596943	ZT1
chr4-1418	chr4	152694229	152694379	+	34.7	0	Intergenic	Intergenic	-3236	NR_033138	330004	Mm.291863	NM_001033414	NA	Gm833	-	predicted gene 833	ncRNA	35	55	91	94	85	178	188	197	105	94	112	114	101	152	254	114	136	116	12	0.077236599220546	ZT13
chr9-1189	chr9	65393746	65393896	+	34.7	0	Intergenic	Intergenic	-2169	NM_028974	74492	Mm.159223	NM_028974	ENSMUSG00000054978	Kbtbd13	5430433E21Rik	kelch repeat and BTB (POZ) domain containing 13	protein-coding	58	79	117	73	97	183	174	155	96	104	141	127	88	179	296	110	73	66	12	0.0452500717492719	ZT13
chr10-1098	chr10	15453779	15453929	+	34.7	0	Intergenic	L1_Mur1|LINE|L1	-337923	NR_131087	77538	Mm.128235	NR_131087	ENSMUSG00000112227	C330004P14Rik	-	RIKEN cDNA C330004P14 gene	ncRNA	55	78	134	73	91	162	179	169	86	108	120	99	100	164	219	120	118	141	14	0.0649073511596943	ZT13
chr16-820	chr16	38074006	38074156	+	34.6	0	Intergenic	Intergenic	-14920	NM_001347232	56637	Mm.394930	NM_019827	ENSMUSG00000022812	Gsk3b	7330414F15Rik|8430431H08Rik|C86142|GSK-3|GSK-3beta|GSK3	glycogen synthase kinase 3 beta	protein-coding	53	79	136	75	116	112	148	167	78	102	121	108	105	186	217	131	144	133	16	0.0649073511596943	ZT17
chr13-843	chr13	30250851	30251001	+	34.6	0	Intergenic	Intergenic	-85430	NM_177322	11607	Mm.35062	NM_177322	ENSMUSG00000049115	Agtr1a	1810074K20Rik|AG2S|AI551199|AT1|AT1a|AT2R1|AT2R1A|Agtr-1a|Agtr1|Angtr-1a	angiotensin II receptor, type 1a	protein-coding	73	102	127	86	112	125	155	110	64	59	69	65	83	120	184	258	241	175	0	0.0310391655363696	ZT1
chr9-1364	chr9	100979385	100979535	+	34.6	0	Intergenic	MTE-int|LTR|ERVL-MaLR	55424	NM_001311149	66904	Mm.335385	NM_025835	ENSMUSG00000032527	Pccb	1300012P06Rik|AI314687|R74805	propionyl Coenzyme A carboxylase, beta polypeptide	protein-coding	55	100	134	96	112	198	221	203	108	92	112	90	95	99	183	94	121	97	8	0.0546578553591281	ZT9
chr10-1067	chr10	18041323	18041473	+	34.6	0	Intergenic	Intergenic	-14542	NM_009048	19707	Mm.4479	NM_009048	ENSMUSG00000019854	Reps1	BB161292	RalBP1 associated Eps domain containing protein	protein-coding	61	60	142	97	69	136	116	152	65	107	95	106	112	212	256	125	138	164	18	0.0452500717492719	ZT17
chr1-1403	chr1	64793165	64793315	+	34.6	0	3' UTR (NM_001039493, exon 8 of 8)	3' UTR (NM_001039493, exon 8 of 8)	-55490	NM_022721	14367	Mm.150813	NM_022721	ENSMUSG00000045005	Fzd5	5330434N09Rik|AI427138|Fz-5|Fz5|mFz5	frizzled class receptor 5	protein-coding	104	161	234	96	106	180	114	137	80	87	69	61	62	124	256	119	95	128	0	0.0247913445279724	ZT1
chr12-824	chr12	112128647	112128797	+	34.6	0	Intergenic	Intergenic	-2158	NR_029590	387199	NA	NR_029590	ENSMUSG00000065574	Mir203	Mirn203|mir-203|mmu-mir-203	microRNA 203	ncRNA	77	109	194	83	82	150	130	128	70	100	97	78	73	176	234	126	116	189	22	0.077236599220546	ZT21
chr7-1569	chr7	19540986	19541136	+	34.6	0	intron (NM_199149, intron 1 of 12)	intron (NM_199149, intron 1 of 12)	21337	NM_199149	232947	Mm.219662	NM_199149	ENSMUSG00000051403	Ppp1r37	Gm158|Lrrc68	protein phosphatase 1, regulatory subunit 37	protein-coding	50	59	106	87	118	166	188	189	80	110	145	99	81	151	271	101	96	111	12	0.0071053784429439	ZT13
chr9-1249	chr9	95637598	95637748	+	34.5	0	promoter-TSS (NM_029620)	promoter-TSS (NM_029620)	45	NM_029620	76477	Mm.46016	NM_029620	ENSMUSG00000015354	Pcolce2	2400001O18Rik|Pcpe2	procollagen C-endopeptidase enhancer 2	protein-coding	47	74	130	120	118	174	176	172	81	104	126	131	90	132	232	111	90	100	10	0.0649073511596943	ZT9
chr17-1048	chr17	10491302	10491452	+	34.5	0	non-coding (NR_077237, exon 2 of 2)	non-coding (NR_077237, exon 2 of 2)	35161	NR_077238	319750	Mm.383485	NR_077237	ENSMUSG00000089633	A230009B12Rik	-	RIKEN cDNA A230009B12 gene	ncRNA	56	91	141	74	83	158	146	134	61	90	116	104	89	211	262	98	130	161	18	0.0377238244831057	ZT17
chr18-664	chr18	12196408	12196558	+	34.5	0	intron (NM_008720, intron 20 of 24)	intron (NM_008720, intron 20 of 24)	27753	NM_029623	76482	Mm.196596	NM_029623	ENSMUSG00000024410	3110002H16Rik	2400010D15Rik|Mic-1|Mic1|Rmc1|Wdr98	RIKEN cDNA 3110002H16 gene	protein-coding	61	93	207	124	150	228	180	207	108	106	126	101	64	103	162	52	74	59	8	0.0132923364728598	ZT9
chr11-1890	chr11	100781869	100782019	+	34.5	0	3' UTR (NM_011489, exon 19 of 19)	3' UTR (NM_011489, exon 19 of 19)	-10987	NM_031871	80860	Mm.37308	NM_031871	ENSMUSG00000017747	Ghdc	D11Lgp1e	GH3 domain containing	protein-coding	61	70	122	82	115	133	171	167	89	106	155	122	94	135	242	120	116	102	14	0.0452500717492719	ZT13
chr1-1506	chr1	71816429	71816579	+	34.5	0	Intergenic	Intergenic	-71608	NR_027659	667931	Mm.214128	NR_027658	ENSMUSG00000099707	Gm8883	EG667931|Gm554	predicted gene 8883	ncRNA	49	93	159	76	80	144	131	151	58	103	94	100	86	197	291	113	127	155	18	0.0649073511596943	ZT17
chr2-1627	chr2	96256625	96256775	+	34.5	0	Intergenic	L1_Mus3|LINE|L1	-61469	NM_001289742	241568	Mm.241682	NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding	46	98	156	69	74	148	155	139	78	87	110	88	96	175	249	117	142	180	18	0.0206133492264304	ZT17
chr4-1388	chr4	33290229	33290379	+	34.5	0	Intergenic	Intergenic	-20007	NM_011884	24018	Mm.240024	NM_011884	ENSMUSG00000028274	Rngtt	AU020997|HCE|MCE1	RNA guanylyltransferase and 5'-phosphatase	protein-coding	90	132	172	70	98	145	177	125	79	89	78	75	73	153	244	113	144	147	0	0.091432700055119	ZT1
chr1-1196	chr1	34801633	34801783	+	34.5	0	promoter-TSS (NM_183019)	promoter-TSS (NM_183019)	-14	NM_183019	226970	Mm.41604	NM_183019	ENSMUSG00000037509	Arhgef4	9330140K16Rik|Asef	Rho guanine nucleotide exchange factor (GEF) 4	protein-coding	80	99	167	85	104	169	162	143	78	87	112	77	82	163	215	122	134	123	0	0.077236599220546	ZT1
chr8-1244	chr8	94189391	94189541	+	34.5	0	Intergenic	Intergenic	10377	NM_013602	17748	Mm.192991	NM_013602	ENSMUSG00000031765	Mt1	MT-I|Mt-1	metallothionein 1	protein-coding	59	98	206	131	124	175	221	143	101	100	118	133	86	89	197	64	63	94	8	0.091432700055119	ZT9
chr12-1017	chr12	29938463	29938613	+	34.5	0	intron (NM_181395, intron 1 of 22)	CpG	502	NM_181395	69675	Mm.251774	NM_181395	ENSMUSG00000020674	Pxdn	2310075M15Rik|C85409|E330004E07|VPO1|mKIAA0230	peroxidasin	protein-coding	94	138	214	101	97	166	153	164	68	88	95	80	70	120	202	88	117	152	2	0.0649073511596943	ZT1
chr1-1463	chr1	191693350	191693500	+	34.5	0	Intergenic	Intergenic	-24599	NM_172266	226856	Mm.277958	NM_172266	ENSMUSG00000026623	Lpgat1	AI649174|AW112037|BC013667	lysophosphatidylglycerol acyltransferase 1	protein-coding	83	100	165	72	77	152	181	114	84	85	83	87	87	176	220	123	146	168	21	0.091432700055119	ZT21
chr12-964	chr12	116485701	116485851	+	34.4	0	promoter-TSS (NM_011215)	promoter-TSS (NM_011215)	56	NM_011215	19276	Mm.206054	NM_011215	ENSMUSG00000056553	Ptprn2	4930425H11Rik|IA2beta|PTP-NP|Phol|mKIAA0387|phogrin	protein tyrosine phosphatase, receptor type, N polypeptide 2	protein-coding	82	108	172	102	123	173	166	170	88	96	117	95	67	122	169	114	122	115	4	0.091432700055119	ZT5
chr7-1560	chr7	122970245	122970395	+	34.4	0	promoter-TSS (NM_011247)	promoter-TSS (NM_011247)	139	NR_045614	73951	Mm.389936	NR_045614	NA	4930413G21Rik	-	RIKEN cDNA 4930413G21 gene	ncRNA	93	83	138	116	122	187	177	153	87	100	108	82	69	150	206	105	109	112	6	0.0649073511596943	ZT5
chr7-1491	chr7	19295894	19296044	+	34.4	0	3' UTR (NM_013648, exon 10 of 10)	3' UTR (NM_013648, exon 10 of 10)	4900	NM_001025364	20167	Mm.24142	NM_013648	ENSMUSG00000030401	Rtn2	MMS10-P|Ms10p|NSPLI|Nspl1	reticulon 2 (Z-band associated protein)	protein-coding	81	102	149	96	120	168	164	129	83	97	105	81	79	147	232	116	124	126	0	0.091432700055119	ZT1
chr3-1005	chr3	111102752	111102902	+	34.4	0	Intergenic	Intergenic	-779076	NR_045362	625585	Mm.389497	NR_045362	ENSMUSG00000104543	Gm6602	-	predicted gene 6602	ncRNA	50	72	146	39	58	85	185	143	90	100	145	134	123	205	259	130	123	115	16	0.00583137953168869	ZT17
chr6-1106	chr6	108667637	108667787	+	34.4	0	TTS (NM_011498)	TTS (NM_011498)	-6778	NR_104577	75394	Mm.395061	NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA	50	63	77	121	144	137	293	219	109	88	97	100	79	113	181	142	129	53	10	0.091432700055119	ZT9
chr7-1526	chr7	96228617	96228767	+	34.4	0	intron (NM_001310760, intron 1 of 32)	intron (NM_001310760, intron 1 of 32)	17021	NM_001310760	23966	Mm.254610	NM_011858	ENSMUSG00000048078	Tenm4	Doc4|ELM2|Odz4|R75022|Ten-m4|l(7)-3Rn|l7Rn3|mKIAA1302	teneurin transmembrane protein 4	protein-coding	101	99	165	94	108	128	150	89	77	38	70	71	73	145	166	202	256	169	0	0.0206133492264304	ZT1
chr16-773	chr16	37929114	37929264	+	34.4	0	intron (NM_153394, intron 1 of 9)	intron (NM_153394, intron 1 of 9)	12693	NM_153394	239845	Mm.228018	NM_153394	ENSMUSG00000046961	Gpr156	Gababl	G protein-coupled receptor 156	protein-coding	57	84	139	91	124	201	205	166	69	114	125	103	99	120	238	74	98	93	10	0.077236599220546	ZT9
chr1-1233	chr1	105271992	105272142	+	34.3	0	Intergenic	MLT2D|LTR|ERVL	-83940	NR_151539	100504568	Mm.321153	NR_151538	ENSMUSG00000097482	Gm17634	-	predicted gene, 17634	ncRNA	60	81	143	80	88	161	170	163	94	106	127	103	106	182	244	106	89	92	14	0.0452500717492719	ZT13
chr7-1416	chr7	130657920	130658070	+	34.3	0	intron (NM_001004468, intron 3 of 21)	intron (NM_001004468, intron 3 of 21)	-34561	NM_001347637	57752	Mm.86322	NM_021314	ENSMUSG00000030852	Tacc2	mKIAA4180	transforming, acidic coiled-coil containing protein 2	protein-coding	45	96	165	90	95	180	191	174	105	96	121	119	105	130	222	88	79	92	10	0.0649073511596943	ZT9
chr12-902	chr12	44274210	44274360	+	34.3	0	intron (NM_026164, intron 1 of 9)	intron (NM_026164, intron 1 of 9)	5131	NM_026164	67452	Mm.54126	NM_026164	ENSMUSG00000036257	Pnpla8	1200006O19Rik|AI467579|Ipla2(gamma)	patatin-like phospholipase domain containing 8	protein-coding	70	99	175	87	95	149	164	141	75	105	103	86	87	166	180	124	145	141	20	0.091432700055119	ZT21
chr9-1417	chr9	57296311	57296461	+	34.3	0	Intergenic	Intergenic	-33787	NM_028820	74211	Mm.428905	NM_028820	ENSMUSG00000032300	1700017B05Rik	AA682102|D9Ertd278e	RIKEN cDNA 1700017B05 gene	protein-coding	93	154	331	64	86	123	165	99	79	76	65	62	46	131	174	102	158	185	0	0.091432700055119	ZT1
chr12-800	chr12	104557910	104558060	+	34.3	0	Intergenic	Intergenic	-84749	NM_010351	14836	Mm.129	NM_010351	ENSMUSG00000021095	Gsc	-	goosecoid homeobox	protein-coding	91	123	153	78	90	150	120	129	49	84	87	94	90	142	269	123	129	192	22	0.010917051581423	ZT21
chr2-1646	chr2	93699490	93699640	+	34.3	0	intron (NM_001355075, intron 14 of 14)	intron (NM_001355075, intron 14 of 14)	57131	NM_007442	11695	Mm.389389	NM_007442	ENSMUSG00000040310	Alx4	lst	aristaless-like homeobox 4	protein-coding	51	80	105	76	91	132	148	175	80	103	134	128	92	181	275	106	100	135	14	0.00488626175209741	ZT13
chr15-1106	chr15	3973428	3973578	+	34.3	0	intron (NM_134099, intron 3 of 6)	intron (NM_134099, intron 3 of 6)	6070	NM_134099	106052	Mm.234191	NM_134099	ENSMUSG00000022184	Fbxo4	1700096C12Rik|AI851261|AW494535|Fbx4	F-box protein 4	protein-coding	57	95	186	44	55	91	151	105	76	60	66	65	57	259	211	180	217	219	20	0.091432700055119	ZT21
chr11-1847	chr11	110399012	110399162	+	34.2	0	promoter-TSS (NM_011943)	promoter-TSS (NM_011943)	-15	NM_001356345	26399	Mm.14487	NM_011943	ENSMUSG00000020623	Map2k6	MAPKK 6|MAPKK6|MEK6|MKK6|Prkmk6|SAPKK3	mitogen-activated protein kinase kinase 6	protein-coding	63	79	138	70	84	159	143	158	77	105	109	104	91	170	237	119	138	140	18	0.0649073511596943	ZT17
chr2-1705	chr2	69364959	69365109	+	34.2	0	Intergenic	Intergenic	-15428	NM_175512	241452	Mm.211655	NM_175512	ENSMUSG00000027068	Dhrs9	C730025I08Rik|Rdh15	dehydrogenase/reductase (SDR family) member 9	protein-coding	61	92	161	66	95	168	153	126	59	93	100	94	85	162	250	145	142	134	20	0.0247913445279724	ZT21
chr7-1482	chr7	142630023	142630173	+	34.2	0	Intergenic	Intergenic	24898	NR_030251	723874	NA	NR_030251	ENSMUSG00000070140	Mir483	Mirn483|mir-483|mmu-mir-483	microRNA 483	ncRNA	78	116	158	90	94	157	151	112	74	94	100	88	81	137	255	130	140	129	21	0.0546578553591281	ZT21
chr13-774	chr13	54670637	54670787	+	34.2	0	Intergenic	B1_Mur3|SINE|Alu	17096	NM_001146025	105239	Mm.25366	NM_134064	ENSMUSG00000034928	Rnf44	AI854545|mKIAA1100	ring finger protein 44	protein-coding	66	68	139	126	116	215	171	193	108	110	125	87	74	134	160	75	89	130	8	0.0247913445279724	ZT9
chr4-1474	chr4	81283773	81283923	+	34.2	0	intron (NM_001305286, intron 42 of 45)	MER58A|DNA|hAT-Charlie	158967	NM_010820	17475	Mm.153039	NM_010820	ENSMUSG00000028402	Mpdz	AI225843|B930003D11Rik|MUPP1	multiple PDZ domain protein	protein-coding	63	71	192	79	86	130	127	140	68	76	94	98	88	185	215	125	145	201	20	0.077236599220546	ZT21
chr5-1486	chr5	32412601	32412751	+	34.2	0	Intergenic	Intergenic	-46294	NM_172707	19046	Mm.241931	NM_172707	ENSMUSG00000014956	Ppp1cb	1200010B19	protein phosphatase 1, catalytic subunit, beta isoform	protein-coding	58	85	142	84	91	159	163	169	76	107	134	107	81	168	239	96	100	124	14	0.0546578553591281	ZT13
chr19-664	chr19	46608713	46608863	+	34.2	0	intron (NM_001177812, intron 2 of 4)	intron (NM_001177812, intron 2 of 4)	9682	NM_146099	226178	Mm.329895	NM_146099	ENSMUSG00000047731	Wbp1l	D19Wsu162e|Opal1	WW domain binding protein 1 like	protein-coding	65	68	119	74	98	175	165	175	97	115	119	137	72	170	254	111	84	90	12	0.0310391655363696	ZT13
chr7-1584	chr7	137310283	137310433	+	34.2	0	intron (NM_001113415, intron 4 of 15)	CpG-13675	4087	NM_001113415	13593	Mm.258708	NM_010096	ENSMUSG00000010476	Ebf3	3110018A08Rik|O/E-2|mKIAA4201	early B cell factor 3	protein-coding	72	72	158	109	111	198	184	170	102	89	111	104	93	118	190	92	98	112	8	0.077236599220546	ZT9
chr5-1389	chr5	139796279	139796429	+	34.2	0	intron (NM_010757, intron 1 of 2)	intron (NM_010757, intron 1 of 2)	4818	NM_010757	17135	Mm.157313	NM_010757	ENSMUSG00000018143	Mafk	AW061068|NF-E2|Nfe2u	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	protein-coding	83	113	163	124	125	170	220	164	94	95	114	105	91	144	193	48	73	65	8	0.077236599220546	ZT9
chr6-1461	chr6	145435333	145435483	+	34.1	0	promoter-TSS (NM_028742)	promoter-TSS (NM_028742)	-483	NM_028742	74071	Mm.441497	NM_028742	ENSMUSG00000054966	Lmntd1	4933403M22Rik|AI482300|Ifltd1|Lmna-rs1|Lmna1	lamin tail domain containing 1	protein-coding	64	73	124	83	98	128	180	172	95	113	144	120	113	140	211	90	108	126	13	0.010917051581423	ZT13
chr18-632	chr18	38810027	38810177	+	34.1	0	Intergenic	Intergenic	-82354	NM_001033789	545253	Mm.244585	NM_001033789	ENSMUSG00000036452	Gm5820	EG545253	predicted gene 5820	protein-coding	68	75	149	104	82	185	180	169	110	103	113	122	84	138	216	81	87	111	9	0.0310391655363696	ZT9
chr5-1299	chr5	36621263	36621413	+	34.1	0	intron (NM_001081232, intron 3 of 8)	intron (NM_001081232, intron 3 of 8)	-35112	NM_001113362	100855	Mm.486203	NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|AU043625|C86258|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding	56	88	123	75	80	145	203	166	95	110	133	114	91	156	221	90	113	120	12	0.0132923364728598	ZT13
chr8-1297	chr8	24432658	24432808	+	34.1	0	Intergenic	Intergenic	6213	NM_026931	69068	Mm.25775	NM_026931	ENSMUSG00000056313	Tcim	1110065B09Rik|1810011O10Rik|AW121743|AW321058	transcriptional and immune response regulator	protein-coding	56	84	177	97	109	148	188	190	116	126	112	109	72	179	168	62	88	103	10	0.0206133492264304	ZT9
chr15-1024	chr15	54863385	54863535	+	34.1	0	intron (NM_001285994, intron 17 of 25)	intron (NM_001285994, intron 17 of 25)	56686	NM_015744	18606	Mm.250256	NM_015744	ENSMUSG00000022425	Enpp2	ATX|E-NPP 2|Npps2|PD-Ialpha|Pdnp2|lysoPLD	ectonucleotide pyrophosphatase/phosphodiesterase 2	protein-coding	70	91	218	76	80	125	124	131	79	83	104	83	74	190	229	109	125	186	20	0.0377238244831057	ZT21
chr7-1530	chr7	114281123	114281273	+	34.1	0	Intergenic	Intergenic	-5082	NM_011965	26440	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	84	104	198	112	134	169	199	158	84	89	78	81	92	99	138	128	134	99	4	0.0649073511596943	ZT5
chr5-1341	chr5	146989144	146989294	+	34.1	0	Intergenic	Intergenic	-25364	NM_001359467	76366	Mm.486234	NM_029581	ENSMUSG00000016510	Mtif3	2810012L14Rik|AI414549	mitochondrial translational initiation factor 3	protein-coding	44	75	124	73	89	168	152	138	66	74	109	89	98	217	263	118	149	136	18	0.077236599220546	ZT17
chr4-1595	chr4	116685453	116685603	+	34.1	0	promoter-TSS (NM_011034)	promoter-TSS (NM_011034)	-71	NM_011034	18477	Mm.30929	NM_011034	ENSMUSG00000028691	Prdx1	MSP23|NkefA|OSF-3|OSF3|PAG|Paga|PrdxI|PrxI|TDX2|TPxA|Tdpx2|prx1	peroxiredoxin 1	protein-coding	75	92	145	120	102	174	186	160	100	87	106	105	81	138	190	94	104	121	8	0.0546578553591281	ZT9
chr6-1112	chr6	94596175	94596325	+	34.1	0	intron (NM_026255, intron 7 of 9)	intron (NM_026255, intron 7 of 9)	10165	NR_106008	102466992	NA	NR_106008	ENSMUSG00000098531	Mir7041	Gm27872|mmu-mir-7041	microRNA 7041	ncRNA	64	91	136	85	94	143	151	157	74	117	112	101	104	144	265	96	108	136	16	0.077236599220546	ZT17
chr3-950	chr3	84952200	84952350	+	34.1	0	promoter-TSS (NM_080428)	promoter-TSS (NM_080428)	64	NM_080428	50754	Mm.196475	NM_080428	ENSMUSG00000028086	Fbxw7	1110001A17Rik|AGO|Cdc4|Fbw7|Fbwd6|Fbx30|Fbxo30|Fbxw6|SEL-10	F-box and WD-40 domain protein 7	protein-coding	35	78	166	78	91	187	176	175	101	127	122	126	75	142	208	103	108	79	12	0.0546578553591281	ZT13
chr11-1818	chr11	117958331	117958481	+	34	0	Intergenic	Intergenic	10960	NM_007707	12702	Mm.3468	NM_007707	ENSMUSG00000053113	Socs3	Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3	suppressor of cytokine signaling 3	protein-coding	88	106	150	88	97	156	165	138	75	83	82	71	93	147	253	115	144	121	0	0.0310391655363696	ZT1
chr8-1253	chr8	3412193	3412343	+	34	0	intron (NM_133962, intron 1 of 19)	RSINE1|SINE|B4	19260	NM_133962	102098	Mm.170461	NM_133962	ENSMUSG00000004568	Arhgef18	AI467246|D030053O22Rik	rho/rac guanine nucleotide exchange factor (GEF) 18	protein-coding	72	90	149	90	121	161	140	143	76	99	87	80	86	134	213	154	149	126	22	0.0649073511596943	ZT21
chr3-1187	chr3	157660527	157660677	+	34	0	Intergenic	Intergenic	93710	NM_011196	19218	Mm.30424	NM_011196	ENSMUSG00000040016	Ptger3	EP3|Pgerep3|Ptgerep3	prostaglandin E receptor 3 (subtype EP3)	protein-coding	64	93	159	70	91	164	128	147	74	107	117	80	91	162	245	110	126	148	18	0.077236599220546	ZT17
chr1-1253	chr1	106629540	106629690	+	34	0	intron (NM_009741, intron 1 of 1)	intron (NM_009741, intron 1 of 1)	-82984	NR_106164	102466254	NA	NR_106164	ENSMUSG00000098344	Mir3473f	Gm27846|mmu-mir-3473f	microRNA 3473f	ncRNA	71	111	243	116	127	199	217	174	104	101	113	72	49	110	164	54	86	62	8	0.0206133492264304	ZT9
chrX-304	chrX	95457256	95457406	+	34	0	Intergenic	ORR1E-int|LTR|ERVL-MaLR	-12491	NM_175179	72345	Mm.182867	NM_175179	ENSMUSG00000050332	Amer1	2810002O09Rik|AW492303|Fam123b|Wtx	APC membrane recruitment 1	protein-coding	34	90	149	76	88	153	161	153	81	100	119	98	101	149	256	109	121	136	16	0.0071053784429439	ZT17
chr17-1025	chr17	56153857	56154007	+	34	0	Intergenic	Intergenic	-8559	NM_025566	66443	Mm.2312	NM_025566	ENSMUSG00000044469	Tnfaip8l1	2600017J23Rik|TIPE1	tumor necrosis factor, alpha-induced protein 8-like 1	protein-coding	74	90	150	108	108	166	148	145	72	75	88	72	75	175	197	114	145	169	0	0.0649073511596943	ZT1
chr8-1185	chr8	123999734	123999884	+	34	0	intron (NM_001357315, intron 4 of 4)	intron (NM_001357315, intron 4 of 4)	-16687	NM_019552	56199	Mm.274243	NM_019552	ENSMUSG00000031974	Abcb10	Abc-me|Abcb12	ATP-binding cassette, sub-family B (MDR/TAP), member 10	protein-coding	50	87	154	93	117	178	188	174	110	109	126	100	77	135	214	67	97	99	10	0.00383384259253848	ZT9
chr10-1075	chr10	115104286	115104436	+	34	0	intron (NM_173391, intron 8 of 10)	intron (NM_173391, intron 8 of 10)	80661	NM_173391	216343	Mm.31597	NM_173391	ENSMUSG00000006764	Tph2	AU043594|Ntph	tryptophan hydroxylase 2	protein-coding	92	74	142	66	77	144	143	131	70	71	107	85	113	153	274	132	143	156	20	0.0649073511596943	ZT21
chr16-760	chr16	5146836	5146986	+	34	0	promoter-TSS (NM_001127725)	promoter-TSS (NM_001127725)	-198	NM_001127725	665119	Mm.102072	NM_001127725	ENSMUSG00000091712	Sec14l5	-	SEC14-like lipid binding 5	protein-coding	55	78	123	95	112	149	141	158	75	104	122	105	93	157	278	108	107	110	14	0.0377238244831057	ZT13
chr9-1204	chr9	115551620	115551770	+	34	0	Intergenic	Intergenic	169876	NR_130329	100316675	NA	NR_130329	ENSMUSG00000080409	Mir467h	Mirn467h|mmu-mir-467h	microRNA 467h	ncRNA	72	101	193	80	83	151	132	102	72	64	74	51	61	176	207	158	244	152	22	0.010917051581423	ZT21
chrX-301	chrX	48954519	48954669	+	33.9	0	Intergenic	MLT1E3|LTR|ERVL-MaLR	-76881	NM_001085499	209005	Mm.336054	NM_001085499	ENSMUSG00000079606	Gm595	-	predicted gene 595	protein-coding	52	90	155	77	88	121	173	149	85	95	104	90	94	157	233	111	140	153	18	0.091432700055119	ZT17
chr11-1893	chr11	69041692	69041842	+	33.9	0	Intergenic	Intergenic	-3870	NM_011496	20877	Mm.3488	NM_011496	ENSMUSG00000020897	Aurkb	AIM-1|AIRK2|AL022959|Aik2|Aim1|Ark2|AurB|IPL1|STK-1|Stk12|Stk5	aurora kinase B	protein-coding	74	84	127	98	101	178	129	98	75	84	106	82	108	179	214	135	142	155	21	0.077236599220546	ZT21
